support,itemsets,itemsets_str
0.060109289617486336,"frozenset({'NARS', 'Huda Beauty', 'Charlotte Tilbury'})","NARS, Huda Beauty, Charlotte Tilbury"
0.07650273224043716,"frozenset({'Huda Beauty', 'Charlotte Tilbury', 'Rare Beauty'})","Huda Beauty, Charlotte Tilbury, Rare Beauty"
0.060109289617486336,"frozenset({'MAKEUP BY MARIO', 'PATRICK TA', 'Charlotte Tilbury'})","MAKEUP BY MARIO, PATRICK TA, Charlotte Tilbury"
0.06557377049180328,"frozenset({'NARS', 'Charlotte Tilbury', 'Rare Beauty'})","NARS, Charlotte Tilbury, Rare Beauty"
0.060109289617486336,"frozenset({'PATRICK TA', 'Rare Beauty', 'Charlotte Tilbury'})","PATRICK TA, Rare Beauty, Charlotte Tilbury"
0.06557377049180328,"frozenset({'Drunk Elephant', 'Rare Beauty', 'Dior Beauty'})","Drunk Elephant, Rare Beauty, Dior Beauty"
0.0546448087431694,"frozenset({'Huda Beauty', 'Rare Beauty', 'Dior Beauty'})","Huda Beauty, Rare Beauty, Dior Beauty"
0.0546448087431694,"frozenset({'Drunk Elephant', 'Rare Beauty', 'NARS'})","Drunk Elephant, Rare Beauty, NARS"
0.0546448087431694,"frozenset({'Drunk Elephant', 'Sol de Janeiro', 'Rare Beauty'})","Drunk Elephant, Sol de Janeiro, Rare Beauty"
0.060109289617486336,"frozenset({'Drunk Elephant', 'Charlotte Tilbury', 'Rare Beauty', 'Dior Beauty'})","Drunk Elephant, Charlotte Tilbury, Rare Beauty, Dior Beauty"
