Producto,Tipo de Atributo,Frecuencia
Beauty Highlighter Wand,PORE_MINIMIZING,1
Better Than Chocolate Eyeshadow Palette,NGRAM_ATTRIBUTE,2
Better Than Chocolate Eyeshadow Palette,GLOSSY_FINISH,1
Better Than Chocolate Eyeshadow Palette,OIL_CONTROL,1
Better Than Chocolate Eyeshadow Palette,PORE_MINIMIZING,1
Better Than Chocolate Eyeshadow Palette (Too Faced),NGRAM_ATTRIBUTE,5
Better Than Chocolate Eyeshadow Palette (Too Faced),GLOWY_FINISH,1
Better Than Sex Easy Glide Waterproof Liquid Eyeliner (Too Faced),NGRAM_ATTRIBUTE,5
Better Than Sex Easy Glide Waterproof Liquid Eyeliner (Too Faced),GLOWY_FINISH,1
Better Than Sex Foreplay Mascara Primer,NGRAM_ATTRIBUTE,2
Better Than Sex Foreplay Mascara Primer,GLOSSY_FINISH,1
Better Than Sex Foreplay Mascara Primer,OIL_CONTROL,1
Better Than Sex Foreplay Mascara Primer,PORE_MINIMIZING,1
Better Than Sex Foreplay Mascara Primer (Too Faced),NGRAM_ATTRIBUTE,5
Better Than Sex Foreplay Mascara Primer (Too Faced),GLOWY_FINISH,1
Better Than Sex Mascara Duo,NGRAM_ATTRIBUTE,7
Better Than Sex Mascara Duo,GLOSSY_FINISH,1
Better Than Sex Mascara Duo,OIL_CONTROL,1
Better Than Sex Mascara Duo,PORE_MINIMIZING,1
Better Than Sex Mascara Duo,WATERPROOF,1
Better Than Sex Mascara Duo (Too Faced),NGRAM_ATTRIBUTE,5
Better Than Sex Mascara Duo (Too Faced),GLOWY_FINISH,1
Better Than Sex Volumizing & Lengthening Mascara (Too Faced),NGRAM_ATTRIBUTE,5
Better Than Sex Volumizing & Lengthening Mascara (Too Faced),GLOWY_FINISH,1
Better Than Sex Volumizing & Lengthening Waterproof Mascara (Too Faced),NGRAM_ATTRIBUTE,5
Better Than Sex Volumizing & Lengthening Waterproof Mascara (Too Faced),GLOWY_FINISH,1
